时间,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
北京,value,11115,12153.03,14113.58,16251.93,17879.4,19800.81,21330.83,23014.59,25669.13,28014.94
天津,value,6719.01,7521.85,9224.46,11307.28,12893.88,14442.01,15726.93,16538.19,17885.39,18549.19
河北,value,16011.97,17235.48,20394.26,24515.76,26575.01,28442.95,29421.15,29806.11,32070.45,34016.32
山西,value,7315.4,7358.31,9200.86,11237.55,12112.83,12665.25,12761.49,12766.49,13050.41,15528.42
内蒙古,value,8496.2,9740.25,11672,14359.88,15880.58,16916.5,17770.19,17831.51,18128.1,16096.21
辽宁,value,13668.58,15212.49,18457.27,22226.7,24846.43,27213.22,28626.58,28669.02,22246.9,23409.24
吉林,value,6426.1,7278.75,8667.58,10568.83,11939.24,13046.4,13803.14,14063.13,14776.8,14944.53
黑龙江,value,8314.37,8587,10368.6,12582,13691.58,14454.91,15039.38,15083.67,15386.09,15902.68
上海,value,14069.86,15046.45,17165.98,19195.69,20181.72,21818.15,23567.7,25123.45,28178.65,30632.99
江苏,value,30981.98,34457.3,41425.48,49110.27,54058.22,59753.37,65088.32,70116.38,77388.28,85869.76
浙江,value,21462.69,22990.35,27722.31,32318.85,34665.33,37756.59,40173.03,42886.49,47251.36,51768.26
安徽,value,8851.66,10062.82,12359.33,15300.65,17212.05,19229.34,20848.75,22005.63,24407.62,27018
福建,value,10823.01,12236.53,14737.12,17560.18,19701.78,21868.49,24055.76,25979.82,28810.58,32182.09
江西,value,6971.05,7655.18,9451.26,11702.82,12948.88,14410.19,15714.63,16723.78,18499,20006.31
山东,value,30933.28,33896.65,39169.92,45361.85,50013.24,55230.32,59426.59,63002.33,68024.49,72634.15
河南,value,18018.53,19480.46,23092.36,26931.03,29599.31,32191.3,34938.24,37002.16,40471.79,44552.83
湖北,value,11328.92,12961.1,15967.61,19632.26,22250.45,24791.83,27379.22,29550.19,32665.38,35478.09
湖南,value,11555,13059.69,16037.96,19669.56,22154.23,24621.67,27037.32,28902.21,31551.37,33902.96
广东,value,36796.71,39482.56,46013.06,53210.28,57067.92,62474.79,67809.85,72812.55,80854.91,89705.23
广西,value,7021,7759.16,9569.85,11720.87,13035.1,14449.9,15672.89,16803.12,18317.64,18523.26
海南,value,1503.06,1654.21,2064.5,2522.66,2855.54,3177.56,3500.72,3702.76,4053.2,4462.54
重庆,value,5793.66,6530.01,7925.58,10011.37,11409.6,12783.26,14262.6,15717.27,17740.59,19424.73
四川,value,12601.23,14151.28,17185.48,21026.68,23872.8,26392.07,28536.66,30053.1,32934.54,36980.22
贵州,value,3561.56,3912.68,4602.16,5701.84,6852.2,8086.86,9266.39,10502.56,11776.73,13540.83
云南,value,5692.12,6169.75,7224.18,8893.12,10309.47,11832.31,12814.59,13619.17,14788.42,16376.34
西藏,value,394.85,441.36,507.46,605.83,701.03,815.67,920.83,1026.39,1151.41,1310.92
陕西,value,7314.58,8169.8,10123.48,12512.3,14453.68,16205.45,17689.94,18021.86,19399.59,21898.81
甘肃,value,3166.82,3387.56,4120.75,5020.37,5650.2,6330.69,6836.82,6790.32,7200.37,7459.9
青海,value,1018.62,1081.27,1350.43,1670.44,1893.54,2122.06,2303.32,2417.05,2572.49,2624.83
宁夏,value,1203.92,1353.31,1689.65,2102.21,2341.29,2577.57,2752.1,2911.77,3168.59,3443.56
新疆,value,4183.21,4277.05,5437.47,6610.05,7505.31,8443.84,9273.46,9324.8,9649.7,10881.96
